customer_id,signup_date,industry,company_size,region,plan_type,acquisition_channel
100031,2025-10-02,Education,Mid-Market,West,Enterprise,Organic Search
100032,2024-08-04,manufacturing,Small Business,Northeast,Pro,Referral
100033,2024-04-24,Technology,Small Business,International,Pro,Organic Search
100034,2023-07-02,Healthcare,Small Business,Midwest,Basic,Paid Search
100035,2025-05-03,Healthcare,Enterprise,Midwest,Pro,Social
100036,2025-02-16,Retail,Small Business,South,Pro,Social
100037,2023-03-31,Manufacturing,Mid-Market,Midwest,Basic,Direct
100038,2025-12-15,Technology,Mid-Market,South,Enterprise,Partner
100039,2025-09-25,Healthcare,Small Business,West,Basic,Paid Search
100040,2023-03-08,Retail,Enterprise,South,Basic,Referral
100041,2023-01-31,Professional Services,Mid-Market,West,Basic,Partner
100042,2025-05-07,Manufacturing,Small Business,West,Basic,Paid Search
100043,2025-07-27,Mfg,Small Business,West,Basic,Referral
100044,2023-01-27,Professional Services,Small Business,South,Basic,Direct
100045,2023-06-01,Retail,Mid-Market,Midwest,Pro,Organic Search
100046,2024-02-07,Education,Small Business,South,Basic,Paid Search
100047,2025-07-02,Professional Services,Enterprise,Northeast,Basic,Partner
100048,2025-06-26,Retail,Small Business,Northeast,Pro,Partner
100049,2024-09-21,Finance,Small Business,Midwest,Enterprise,Direct
100050,2025-11-10,Manufacturing,Mid-Market,West,Pro,Referral
100051,2023-02-14,Healthcare,Small Business,Northeast,Enterprise,Direct
100052,2025-01-05,Professional Services,Small Business,International,Enterprise,Paid Search
100053,2025-11-13,Finance,Small Business,West,Basic,Organic Search
100054,2023-01-16,Retail,Small Business,West,Basic,Partner
100055,2025-12-01,RETAIL,Small Business,Northeast,Basic,Direct
100056,2025-03-17,Healthcare,Enterprise,South,Pro,Paid Search
100057,2023-10-30,Retail,Small Business,West,Basic,Direct
100058,2023-08-24,Healthcare,Small Business,West,Pro,Direct
100059,2025-02-25,healthcare,Enterprise,West,Basic,Paid Search
100060,2024-04-26,Technology,Small Business,Northeast,Pro,Organic Search
100061,2024-10-09,FIN,Mid-Market,South,Basic,Partner
100062,2023-05-07,Mfg,Mid-Market,West,Pro,Paid Search
100063,2025-01-21,Technology,Small Business,West,Basic,Paid Search
100064,2025-08-15,Technology,Mid-Market,South,Basic,Paid Search
100065,2024-10-20,Technology,Small Business,International,Pro,Referral
100066,2024-01-02,manufacturing,Small Business,South,Pro,Organic Search
100067,2023-01-21,Prof Services,Small Business,West,Basic,Paid Search
100068,2024-02-15,Education,Mid-Market,International,Basic,Direct
100069,2024-04-12,TECH,Small Business,Northeast,Basic,Social
100070,2024-09-09,Technology,Mid-Market,Northeast,Pro,Organic Search
100071,2025-02-09,Retail,Small Business,West,Basic,Paid Search
100072,2023-04-28,Technology,Mid-Market,South,Basic,Partner
100073,2025-10-15,Healthcare,Mid-Market,Northeast,Basic,Social
100074,2025-09-16,Prof Services,Mid-Market,South,Pro,Organic Search
100075,2025-04-23,Education,Small Business,Midwest,Pro,Organic Search
100076,2024-02-29,education,Small Business,International,Basic,Referral
100077,2025-07-05,Healthcare,Mid-Market,International,Pro,Organic Search
100078,2023-04-16,education,Small Business,South,Basic,Direct
100079,2023-04-22,FIN,Small Business,South,Enterprise,Partner
100080,2025-03-11,Mfg,Mid-Market,South,Enterprise,Paid Search
100081,2023-11-21,finance,Small Business,West,Basic,Organic Search
100082,2023-11-14,Retail,Mid-Market,Northeast,Pro,Organic Search
100083,2024-07-17,Finance,Small Business,Midwest,Pro,Paid Search
100084,2025-11-12,Education,Small Business,South,Basic,Social
100085,2023-02-23,Retail,Small Business,Midwest,Basic,Partner
100086,2025-10-05,Professional Services,Small Business,West,Basic,Organic Search
100087,2023-11-01,Finance,Enterprise,Midwest,Basic,Partner
100088,2024-02-15,Retail,Small Business,Midwest,Basic,Organic Search
100089,2025-11-20,Healthcare,Small Business,West,Enterprise,Direct
100090,2024-03-23,Technology,Mid-Market,West,Pro,Paid Search
100091,2024-07-21,Healthcare,Small Business,Northeast,Pro,Paid Search
100092,2025-01-19,Technology,Small Business,Midwest,Basic,Social
100093,2023-09-05,education,Small Business,Midwest,Basic,Paid Search
100094,2024-03-13,Education,Small Business,South,Basic,Social
100095,2023-05-24,Retail,Small Business,West,Enterprise,Organic Search
100096,2023-11-19,Manufacturing,Small Business,Midwest,Basic,Partner
100097,2025-03-25,tech,Small Business,South,Basic,Organic Search
100098,2024-06-16,RETAIL,Mid-Market,West,Pro,Organic Search
100099,2025-09-16,Professional Services,Enterprise,Northeast,Enterprise,Paid Search
100100,2024-02-10,Retail,Mid-Market,South,Enterprise,Paid Search
100101,2024-07-05,Finance,Small Business,West,Pro,Organic Search
100102,2023-09-13,Education,Mid-Market,South,Pro,Direct
100103,2024-03-18,Healthcare,Mid-Market,International,Enterprise,Social
100104,2023-03-24,Tech,Small Business,,Pro,Direct
100105,2024-02-19,healthcare,Enterprise,Northeast,Pro,Paid Search
100106,2025-07-25,retail,Small Business,West,Pro,Paid Search
100107,2024-04-12,Technology,Mid-Market,South,Pro,Partner
100108,2025-10-01,Technology,Small Business,South,Enterprise,Referral
100109,2024-03-01,Education,Enterprise,Northeast,Basic,Partner
100110,2025-09-19,Technology,Enterprise,West,Basic,Paid Search
100111,2024-04-13,Manufacturing,Mid-Market,West,Pro,Direct
100112,2024-01-21,Technology,Small Business,West,Basic,Organic Search
100113,2025-04-25,Retail,Small Business,West,Basic,Social
100114,2023-12-19,Retail,Small Business,South,Basic,Direct
100115,2024-08-30,Retail,Small Business,West,Pro,Referral
100116,2024-07-07,Retail,Small Business,South,Basic,Social
100117,2025-07-11,Manufacturing,Small Business,West,Pro,Organic Search
100118,2024-07-13,Professional Services,Small Business,Northeast,Pro,Referral
100119,2024-03-07,Retail,Mid-Market,Midwest,Basic,Referral
100120,2024-10-18,Health Care,Mid-Market,International,Pro,Organic Search
100121,2024-07-08,Manufacturing,Mid-Market,South,Pro,Organic Search
100122,2024-09-21,Technology,Enterprise,South,Enterprise,Paid Search
100123,2025-08-06,,Small Business,Midwest,Basic,Organic Search
100124,2025-05-12,Education,Enterprise,Midwest,Basic,Referral
100125,2023-06-03,Retail,Enterprise,West,Enterprise,Referral
100126,2025-03-28,Finance,Mid-Market,South,Pro,Referral
100127,2024-01-05,Healthcare,Small Business,Northeast,Pro,Direct
100128,2023-11-22,Manufacturing,Small Business,West,Pro,Referral
100129,2024-08-19,Tech,Small Business,Midwest,Basic,Referral
100130,2025-07-19,Education,Mid-Market,South,Pro,Paid Search
100131,2023-05-16,TECH,Mid-Market,International,Pro,Direct
100132,2025-05-14,Retail,Mid-Market,South,Pro,Organic Search
100133,2024-02-01,RETAIL,Small Business,Northeast,Basic,Partner
100134,2025-10-03,,Enterprise,South,Pro,Social
100135,2025-01-28,Professional Services,Enterprise,South,Basic,Referral
100136,2024-10-28,Retail,Small Business,West,Basic,Organic Search
100137,2024-01-30,healthcare,Small Business,Northeast,Enterprise,Referral
100138,2025-01-26,Edu,Enterprise,International,Basic,Partner
100139,2023-11-11,Professional Services,Small Business,West,Basic,Direct
100140,2024-11-13,Manufacturing,Enterprise,Northeast,Enterprise,Direct
100141,2025-08-01,Professional Services,Small Business,Northeast,Pro,Organic Search
100142,2025-08-27,Manufacturing,Mid-Market,Midwest,Basic,Social
100143,2025-03-08,,Small Business,Midwest,Pro,Partner
100144,2025-05-31,Technology,Enterprise,South,Pro,Organic Search
100145,2023-12-08,Education,Mid-Market,South,Pro,Partner
100146,2025-06-26,Technology,Small Business,West,Pro,Paid Search
100147,2023-01-09,Technology,Mid-Market,Midwest,Pro,Paid Search
100148,2024-01-31,Education,Small Business,South,Basic,Referral
100149,2024-09-15,Finance,Small Business,South,Pro,Partner
100150,2025-07-26,Retail,Mid-Market,Midwest,Basic,Social
100151,2025-07-15,,Mid-Market,Midwest,Pro,Social
100152,2024-04-22,Healthcare,Small Business,West,Pro,Social
100153,2024-10-02,Technology,Small Business,International,Pro,Organic Search
100154,2025-11-13,Healthcare,Mid-Market,West,Pro,Organic Search
100155,2024-03-01,Manufacturing,Mid-Market,South,Basic,Organic Search
100156,2025-05-20,education,Small Business,South,Pro,Paid Search
100157,2023-11-08,Retail,Mid-Market,International,Basic,Organic Search
100158,2024-09-16,Manufacturing,Enterprise,Midwest,Basic,Direct
100159,2024-10-19,retail,Small Business,West,Basic,Organic Search
100160,2023-09-02,Professional Services,Small Business,Midwest,Pro,Organic Search
100161,2025-06-11,Technology,Enterprise,West,Pro,Referral
100162,2025-08-05,Professional Services,Enterprise,Northeast,Basic,Organic Search
100163,2025-03-29,Finance,Small Business,International,Basic,Organic Search
100164,2023-07-18,Professional Services,Small Business,Northeast,Basic,Paid Search
100165,2023-09-24,Technology,Small Business,Midwest,Pro,Direct
100166,2023-06-27,Retail,Enterprise,West,Pro,Direct
100167,2024-09-08,Retail,Small Business,Midwest,Basic,Partner
100168,2025-04-28,education,Mid-Market,Midwest,Pro,Paid Search
100169,2025-02-01,finance,Small Business,South,Pro,Paid Search
100170,2025-03-21,Retail,Small Business,South,Pro,Direct
100171,2023-03-15,Manufacturing,Small Business,South,Basic,Social
100172,2025-10-30,Technology,Small Business,West,Basic,Referral
100173,2024-04-16,Manufacturing,Small Business,South,Pro,Referral
100174,2025-06-01,retail,Small Business,West,Basic,Direct
100175,2023-05-12,Retail,Small Business,West,Pro,Organic Search
100176,2023-08-01,Healthcare,Mid-Market,Midwest,Basic,Organic Search
100177,2023-08-17,Healthcare,Small Business,South,Pro,Partner
100178,2023-06-19,,Small Business,West,Basic,Paid Search
100179,2023-07-16,Technology,Small Business,Northeast,Basic,Direct
100180,2023-12-04,Technology,Mid-Market,Northeast,Basic,Organic Search
100181,2023-11-29,Manufacturing,Small Business,Midwest,Basic,Partner
100182,2023-04-26,RETAIL,Mid-Market,Northeast,Basic,Organic Search
100183,2023-12-22,Technology,Mid-Market,West,Pro,Partner
100184,2023-07-16,education,Small Business,Midwest,Pro,Organic Search
100185,2023-01-23,Retail,Enterprise,Midwest,Pro,Organic Search
100186,2025-11-27,Education,Small Business,Midwest,Basic,Partner
100187,2025-03-14,Education,Mid-Market,Northeast,Basic,Partner
100188,2024-03-27,TECH,Small Business,Midwest,Basic,Organic Search
100189,2023-03-21,Retail,Enterprise,South,Pro,Direct
100190,2024-01-25,retail,Small Business,West,Enterprise,Organic Search
100191,2023-06-13,education,Small Business,West,Enterprise,Organic Search
100192,2023-12-02,Finance,Enterprise,Midwest,Basic,Direct
100193,2025-08-19,FIN,Small Business,Midwest,Pro,Referral
100194,2025-07-06,tech,Small Business,West,Basic,Partner
100195,2023-08-18,retail,Mid-Market,South,Enterprise,Organic Search
100196,2023-03-24,Education,Small Business,South,Enterprise,Organic Search
100197,2023-05-13,Finance,Small Business,International,Basic,Paid Search
100198,2024-09-18,Technology,Enterprise,Midwest,Basic,Organic Search
100199,2023-01-11,RETAIL,Small Business,Northeast,Basic,Paid Search
100200,2024-11-12,Health Care,Small Business,West,Basic,Organic Search
100201,2025-09-05,manufacturing,Small Business,Midwest,Pro,Paid Search
100202,2025-02-13,Manufacturing,Small Business,Midwest,Basic,Paid Search
100203,2024-09-06,Retail,Mid-Market,Northeast,Pro,Partner
100204,2025-04-09,Technology,Small Business,South,Basic,Organic Search
100205,2023-03-17,Healthcare,Mid-Market,West,Pro,Direct
100206,2024-05-28,Retail,Small Business,International,Pro,Organic Search
100207,2025-07-30,Professional Services,Small Business,International,Basic,Organic Search
100208,2025-12-16,Retail,Mid-Market,West,Basic,Paid Search
100209,2023-06-24,Finance,Small Business,West,Enterprise,Referral
100210,2023-12-12,Retail,Enterprise,South,Pro,Referral
100211,2024-06-15,manufacturing,Mid-Market,West,Pro,Paid Search
100212,2024-12-26,Technology,Small Business,West,Basic,Paid Search
100213,2025-04-24,,Small Business,West,Pro,Referral
100214,2023-03-08,Manufacturing,Mid-Market,South,Enterprise,Organic Search
100215,2025-01-15,Retail,Mid-Market,Midwest,Basic,Paid Search
100216,2025-01-29,Education,Mid-Market,Midwest,Basic,Partner
100217,2024-09-09,Finance,Small Business,West,Basic,Paid Search
100218,2023-11-23,Technology,Enterprise,South,Pro,Partner
100219,2024-09-13,Technology,Small Business,Midwest,Basic,Referral
100220,2025-04-20,Health Care,Small Business,West,Pro,Direct
100221,2024-01-21,Retail,Enterprise,West,Basic,Partner
100222,2024-05-12,Retail,Small Business,Northeast,Basic,Social
100223,2025-03-09,RETAIL,Small Business,Northeast,Basic,Partner
100224,2024-07-23,Healthcare,Small Business,West,Pro,Direct
100225,2023-06-06,tech,Small Business,South,Pro,Referral
100226,2024-11-29,healthcare,Enterprise,West,Pro,Paid Search
100227,2023-05-12,Retail,Small Business,West,Pro,Organic Search
100228,2025-06-27,education,Small Business,Midwest,Pro,Referral
100229,2023-05-20,Manufacturing,Small Business,West,Basic,Paid Search
100230,2024-12-29,Healthcare,Mid-Market,South,Basic,Partner
100231,2024-03-19,Retail,Small Business,Northeast,Pro,Direct
100232,2025-07-08,Education,Small Business,Northeast,Basic,Referral
100233,2024-03-07,Technology,Mid-Market,Midwest,Pro,Organic Search
100234,2023-08-30,Manufacturing,Mid-Market,West,Pro,Social
100235,2023-10-14,Finance,Mid-Market,South,Basic,Direct
100236,2024-10-03,Education,Small Business,West,Enterprise,Organic Search
100237,2025-04-07,Technology,Small Business,Northeast,Pro,Organic Search
100238,2025-07-05,Retail,Mid-Market,South,Basic,Direct
100239,2023-02-11,Retail,Enterprise,Midwest,Basic,Paid Search
100240,2024-04-10,manufacturing,Mid-Market,Northeast,Basic,Direct
100241,2023-06-25,retail,Small Business,South,Basic,Organic Search
100242,2024-06-15,manufacturing,Small Business,West,Basic,Referral
100243,2024-06-05,Finance,Small Business,Northeast,Basic,Referral
100244,2025-09-26,Technology,Enterprise,Northeast,Basic,Organic Search
100245,2025-11-22,TECH,Small Business,West,Basic,Direct
100246,2023-01-17,Healthcare,Small Business,South,Basic,Organic Search
100247,2025-03-28,Retail,Small Business,Midwest,Basic,Social
100248,2024-02-17,Education,Enterprise,West,Basic,Organic Search
100249,2023-07-09,RETAIL,Small Business,Northeast,Pro,Organic Search
100250,2024-06-13,Technology,Small Business,West,Basic,Direct
100251,2023-04-02,Healthcare,Small Business,Midwest,Basic,Direct
100252,2025-01-04,Technology,Mid-Market,Midwest,Enterprise,Direct
100253,2025-03-16,Education,Small Business,Midwest,Enterprise,Social
100254,2023-12-26,Retail,Small Business,South,Enterprise,Direct
100255,2023-07-19,Edu,Small Business,Northeast,Pro,Organic Search
100256,2025-12-29,Manufacturing,Enterprise,South,Basic,Referral
100257,2025-01-21,Mfg,Small Business,South,Enterprise,Paid Search
100258,2023-05-21,Healthcare,Mid-Market,West,Basic,Organic Search
100259,2024-10-16,Manufacturing,Enterprise,International,Pro,Organic Search
100260,2023-04-13,Health Care,Mid-Market,Northeast,Pro,Paid Search
100261,2024-08-01,Retail,Small Business,South,Basic,Partner
100262,2025-03-02,RETAIL,Small Business,West,Pro,Referral
100263,2024-11-16,Finance,Mid-Market,Northeast,Pro,Social
100264,2024-04-22,Finance,Small Business,South,Pro,Partner
100265,2024-06-03,Professional Services,Small Business,South,Basic,Partner
100266,2024-08-01,Retail,Mid-Market,West,Pro,Partner
100267,2024-12-14,Education,Small Business,West,Enterprise,Organic Search
100268,2023-05-08,Retail,Small Business,Northeast,Basic,Paid Search
100269,2024-04-28,Technology,Small Business,South,Enterprise,Referral
100270,2024-02-24,retail,Mid-Market,Midwest,Pro,Paid Search
100271,2023-05-23,Healthcare,Small Business,Northeast,Pro,Organic Search
100272,2023-03-23,Retail,Small Business,Midwest,Basic,Referral
100273,2025-08-02,healthcare,Enterprise,West,Pro,Partner
100274,2024-05-25,tech,Small Business,Midwest,Basic,Organic Search
100275,2025-02-20,Healthcare,Enterprise,Midwest,Basic,Direct
100276,2023-06-10,Retail,Small Business,Northeast,Basic,Organic Search
100277,2023-03-28,Healthcare,Enterprise,Northeast,Basic,Organic Search
100278,2024-11-04,Mfg,Small Business,West,Pro,Organic Search
100279,2024-02-14,Healthcare,Small Business,Midwest,Pro,Referral
100280,2024-06-11,retail,Enterprise,Midwest,Pro,Direct
100281,2024-10-19,Technology,Mid-Market,Northeast,Basic,Referral
100282,2023-09-27,Technology,Small Business,Northeast,Basic,Social
100283,2023-10-22,Technology,Enterprise,Midwest,Basic,Direct
100284,2024-09-22,Finance,Mid-Market,South,Basic,Organic Search
100285,2023-06-14,Technology,Small Business,West,Basic,Direct
100286,2025-09-18,Professional Services,Small Business,West,Basic,Paid Search
100287,2024-05-05,Tech,Small Business,Midwest,Basic,Organic Search
100288,2024-07-20,Technology,Enterprise,West,Basic,Partner
100289,2023-08-04,TECH,Mid-Market,South,Basic,Direct
100290,2024-12-08,Healthcare,Enterprise,Northeast,Basic,Paid Search
100291,2024-11-17,Prof Services,Mid-Market,South,Pro,Organic Search
100292,2025-08-02,Financial Services,Mid-Market,South,Basic,Partner
100293,2025-10-12,Manufacturing,Small Business,International,Basic,Organic Search
100294,2023-12-05,Healthcare,Small Business,South,Pro,Paid Search
100295,2023-06-08,Retail,Mid-Market,South,Pro,Organic Search
100296,2024-05-16,Healthcare,Small Business,West,Enterprise,Partner
100297,2024-01-02,education,Small Business,Northeast,Basic,Direct
100298,2025-02-17,Retail,Mid-Market,Northeast,Pro,Referral
100299,2025-05-11,Technology,Mid-Market,West,Enterprise,Organic Search
100300,2024-09-08,Manufacturing,Enterprise,South,Basic,Direct
100301,2024-07-10,Technology,Mid-Market,International,Pro,Organic Search
100302,2023-03-19,Healthcare,Mid-Market,West,Enterprise,Referral
100303,2023-09-13,Professional Services,Mid-Market,Northeast,Basic,Partner
100304,2024-04-12,Healthcare,Mid-Market,South,Basic,Organic Search
100305,2024-09-08,Finance,Small Business,West,Basic,Direct
100306,2023-11-20,Professional Services,Small Business,South,Enterprise,Partner
100307,2024-05-22,Finance,Small Business,West,Enterprise,Paid Search
100308,2024-11-12,Technology,Small Business,Midwest,Pro,Partner
100309,2023-02-02,Technology,Small Business,Midwest,Basic,Organic Search
100310,2024-09-02,Technology,Small Business,South,Basic,Paid Search
100311,2023-06-17,Retail,Mid-Market,Midwest,Basic,Organic Search
100312,2023-11-17,Tech,Enterprise,Midwest,Basic,Referral
100313,2025-09-06,Education,Mid-Market,Midwest,Basic,Paid Search
100314,2024-03-25,RETAIL,Small Business,West,Basic,Social
100315,2023-09-06,Education,Mid-Market,Northeast,Basic,Organic Search
100316,2025-10-22,Professional Services,Small Business,West,Enterprise,Paid Search
100317,2024-05-03,Professional Services,Small Business,International,Pro,Social
100318,2023-12-24,HEALTHCARE,Small Business,Midwest,Basic,Organic Search
100319,2023-02-03,Technology,Small Business,Northeast,Pro,Direct
100320,2023-04-17,Manufacturing,Mid-Market,South,Basic,Referral
100321,2023-02-13,,Enterprise,Northeast,Pro,Paid Search
100322,2024-12-24,Retail,Small Business,Midwest,Enterprise,Paid Search
100323,2025-07-02,Healthcare,Small Business,West,Pro,Partner
100324,2023-04-05,Finance,Small Business,South,Basic,Organic Search
100325,2025-12-22,Tech,Mid-Market,Northeast,Pro,Organic Search
100326,2024-02-15,Retail,Mid-Market,West,Pro,Social
100327,2025-03-01,Tech,Small Business,Midwest,Pro,Direct
100328,2025-07-05,Healthcare,Mid-Market,Northeast,Basic,Referral
100329,2023-07-15,Manufacturing,Small Business,West,Pro,Paid Search
100330,2025-11-15,Health Care,Mid-Market,West,Basic,Partner
100331,2024-03-17,Technology,Mid-Market,West,Pro,Paid Search
100332,2025-01-16,Professional Services,Mid-Market,Northeast,Pro,Paid Search
100333,2024-01-14,education,Small Business,West,Basic,Organic Search
100334,2025-11-12,Technology,Small Business,Midwest,Basic,Organic Search
100335,2025-02-28,Finance,Enterprise,Northeast,Enterprise,Referral
100336,2025-03-04,professional services,Mid-Market,West,Basic,Paid Search
100337,2025-06-07,Financial Services,Enterprise,International,Basic,Organic Search
100338,2025-01-04,Retail,Mid-Market,West,Basic,Direct
100339,2024-01-27,Manufacturing,Small Business,International,Pro,Paid Search
100340,2023-01-17,Manufacturing,Enterprise,Northeast,Pro,Organic Search
100341,2024-06-23,Technology,Mid-Market,International,Pro,Organic Search
100342,2023-06-09,RETAIL,Small Business,Midwest,Basic,Paid Search
100343,2024-09-21,Manufacturing,Small Business,Northeast,Basic,Referral
100344,2025-12-09,Finance,Enterprise,West,Enterprise,Paid Search
100345,2024-03-07,Technology,Small Business,Northeast,Pro,Referral
100346,2023-11-16,Education,Small Business,South,Enterprise,Direct
100347,2023-01-22,Healthcare,Small Business,International,Basic,Direct
100348,2023-09-17,Technology,Mid-Market,Midwest,Basic,Direct
100349,2024-02-29,RETAIL,Small Business,South,Basic,Organic Search
100350,2025-03-22,Professional Services,Mid-Market,West,Basic,Paid Search
100351,2023-03-08,Manufacturing,Small Business,South,Enterprise,Referral
100352,2024-04-18,Mfg,Small Business,South,Basic,Direct
100353,2024-01-26,Technology,Enterprise,South,Basic,Referral
100354,2025-03-28,Edu,Small Business,West,Enterprise,Paid Search
100355,2023-07-26,Retail,Enterprise,Northeast,Pro,Paid Search
100356,2024-01-25,Mfg,Enterprise,Midwest,Basic,Direct
100357,2024-04-21,Prof Services,Small Business,South,Enterprise,Referral
100358,2025-11-05,Manufacturing,Mid-Market,Northeast,Enterprise,Partner
100359,2024-03-18,Finance,Small Business,South,Pro,Organic Search
100360,2023-12-13,Manufacturing,Small Business,West,Pro,Referral
100361,2023-10-18,Finance,Small Business,Midwest,Basic,Partner
100362,2025-04-11,professional services,Enterprise,South,Basic,Partner
100363,2025-02-22,Professional Services,Small Business,Northeast,Enterprise,Direct
100364,2024-12-18,FIN,Enterprise,Northeast,Basic,Paid Search
100365,2025-08-28,TECH,Enterprise,South,Pro,Referral
100366,2025-02-23,Healthcare,Small Business,Northeast,Pro,Partner
100367,2023-03-07,Finance,Small Business,Midwest,Basic,Direct
100368,2025-02-16,Finance,Small Business,West,Basic,Partner
100369,2024-02-02,Healthcare,Enterprise,Midwest,Enterprise,Organic Search
100370,2023-06-21,tech,Small Business,South,Enterprise,Organic Search
100371,2023-07-02,Retail,Small Business,South,Basic,Paid Search
100372,2023-01-21,Technology,Mid-Market,Northeast,Pro,Referral
100373,2023-07-01,Manufacturing,Small Business,International,Basic,Partner
100374,2025-04-27,Manufacturing,Small Business,South,Enterprise,Paid Search
100375,2023-08-04,Technology,Mid-Market,Northeast,Basic,Referral
100376,2025-02-25,Healthcare,Mid-Market,Northeast,Enterprise,Partner
100377,2025-01-14,Professional Services,Mid-Market,West,Basic,Direct
100378,2025-12-27,Healthcare,Small Business,West,Enterprise,Paid Search
100379,2023-07-02,Healthcare,Mid-Market,South,Pro,Direct
100380,2025-08-15,tech,Small Business,South,Basic,Paid Search
100381,2023-09-21,Finance,Small Business,Midwest,Basic,Organic Search
100382,2025-02-05,Retail,Mid-Market,South,Basic,Paid Search
100383,2025-04-13,Healthcare,Small Business,West,Basic,Paid Search
100384,2024-01-21,Healthcare,Small Business,Midwest,Basic,Referral
100385,2023-07-27,Education,Small Business,International,Basic,Direct
100386,2023-05-27,Retail,Small Business,International,Basic,Direct
100387,2023-04-21,retail,Mid-Market,South,Basic,Organic Search
100388,2025-02-03,Professional Services,Small Business,South,Basic,Direct
100389,2024-06-15,professional services,Small Business,South,Enterprise,Organic Search
100390,2024-01-06,Professional Services,Small Business,South,Basic,Referral
100391,2024-03-04,Technology,Small Business,Midwest,Basic,Partner
100392,2024-03-09,RETAIL,Mid-Market,Northeast,Basic,Paid Search
100393,2024-07-03,Mfg,Small Business,Northeast,Pro,Organic Search
100394,2025-07-23,Healthcare,Small Business,South,Basic,Organic Search
100395,2025-09-12,Financial Services,Mid-Market,Northeast,Pro,Organic Search
100396,2023-04-01,manufacturing,Small Business,Midwest,Enterprise,Referral
100397,2025-08-03,Tech,Mid-Market,West,Enterprise,Organic Search
100398,2025-05-04,,Small Business,South,Basic,Referral
100399,2025-06-07,Technology,Small Business,West,Pro,Referral
100400,2023-09-01,professional services,Mid-Market,West,Basic,Referral
100401,2024-05-08,professional services,Small Business,Midwest,Basic,Partner
100402,2023-03-18,Manufacturing,Small Business,Northeast,Basic,Referral
100403,2024-03-25,Financial Services,Small Business,West,Basic,Referral
100404,2023-03-26,Manufacturing,Small Business,International,Pro,Referral
100405,2024-07-03,Technology,Small Business,West,Basic,Paid Search
100406,2025-08-15,Retail,Small Business,Northeast,Pro,Organic Search
100407,2023-07-29,Manufacturing,Small Business,West,Enterprise,Paid Search
100408,2025-10-02,Education,Mid-Market,Northeast,Enterprise,Referral
100409,2024-11-19,Financial Services,Small Business,Northeast,Basic,Paid Search
100410,2023-04-12,professional services,Small Business,South,Basic,Organic Search
100411,2024-10-21,Finance,Mid-Market,West,Basic,Social
100412,2024-08-16,Edu,Mid-Market,West,Pro,Paid Search
100413,2025-01-05,finance,Small Business,West,Pro,Partner
100414,2024-09-19,Retail,Small Business,Northeast,Basic,Direct
100415,2025-02-16,Retail,Mid-Market,International,Basic,Organic Search
100416,2023-04-16,Finance,Enterprise,Midwest,Basic,Paid Search
100417,2025-10-01,Finance,Small Business,Midwest,Basic,Paid Search
100418,2024-11-15,Retail,Small Business,South,Basic,Paid Search
100419,2024-03-08,Education,Enterprise,South,Basic,Organic Search
100420,2025-02-22,Retail,Small Business,International,Basic,Organic Search
100421,2024-04-24,education,Small Business,Midwest,Basic,Paid Search
100422,2024-03-04,professional services,Enterprise,South,Basic,Organic Search
100423,2024-09-07,manufacturing,Small Business,West,Enterprise,Paid Search
100424,2025-03-22,Health Care,Small Business,Northeast,Pro,Partner
100425,2025-11-02,Retail,Small Business,South,Pro,Paid Search
100426,2025-12-03,professional services,Small Business,West,Basic,Referral
