ticket_id,customer_id,created_date,severity,category,resolution_hours
268,100045,2024-05-14,Low,Bug,28.61
269,100045,2024-07-24,Medium,Bug,22.66
270,100045,2025-05-24,Critical,Account,46.86
271,100045,2025-08-03,high,How-to,44.71
272,100045,2025-09-22,medium,Bug,7.01
273,100045,2025-10-01,Low,Billing,21.15
274,100045,2025-10-17,Low,Bug,5.64
275,100046,2024-02-07,MEDIUM,How-to,14.3
276,100046,2024-06-28,LOW,How-to,24.28
277,100046,2024-07-22,Low,Billing,7.75
278,100046,2025-01-04,Low,Account,3.51
279,100046,2025-01-23,Low,Billing,9.54
280,100047,2025-07-18,Medium,Billing,8.63
281,100047,2025-08-07,Medium,Billing,7.06
282,100047,2025-09-15,Critical,Bug,40.7
283,100048,2025-12-22,Low,How-to,24.37
284,100049,2024-10-27,High,How-to,32.34
285,100049,2025-05-23,Medium,Billing,9.41
286,100049,2025-10-24,Medium,How-to,27.91
287,100050,2025-11-23,High,How-to,22.43
288,100051,2023-02-02,Low,How-to,4.37
289,100051,2023-05-06,MEDIUM,Bug,6.37
290,100051,2023-08-23,Medium,Billing,7.77
291,100051,2023-08-15,Low,Bug,27.41
292,100051,2023-11-10,Low,Integration,15.29
293,100051,2023-11-25,Low,Bug,3.92
294,100051,2024-02-25,MEDIUM,Account,4.08
295,100051,2024-03-12,MED,How-to,1.32
296,100051,2024-05-03,Low,Integration,10.78
297,100051,2024-09-14,Low,Account,10.84
298,100051,2024-11-23,LOW,Account,6.81
299,100051,2025-01-14,CRIT,Billing,26.95
300,100051,2025-06-06,High,Billing,6.44
301,100051,2025-06-08,Low,Billing,17.75
302,100051,2025-07-10,High,Billing,47.53
303,100052,2025-06-21,MEDIUM,Bug,5.97
304,100053,2025-12-28,Low,How-to,16.98
305,100053,2025-12-15,MEDIUM,How-to,9.85
306,100054,2023-03-09,Low,Billing,20.74
307,100054,2023-03-06,Low,Billing,2.58
308,100054,2023-09-20,MED,How-to,11.55
309,100054,2023-09-04,Medium,Integration,19.96
310,100054,2023-12-16,Low,How-to,18.36
311,100054,2024-02-13,LOW,How-to,14.8
312,100054,2024-03-27,low,How-to,10.53
313,100054,2024-04-11,MED,Billing,7.07
314,100054,2024-05-25,Low,Bug,7.26
315,100054,2024-11-23,Low,Account,19.11
316,100054,2025-08-06,Low,Billing,29.38
317,100054,2025-10-07,Medium,Integration,28.08
318,100056,2025-03-23,low,Billing,10.07
319,100056,2025-03-20,Medium,Billing,9.77
320,100056,2025-04-23,High,Account,5.51
321,100056,2025-07-12,Medium,How-to,5.09
322,100056,2025-08-25,Low,Billing,15.68
323,100056,2025-09-04,LOW,How-to,9.4
324,100056,2025-10-01,Medium,Bug,11.73
325,100056,2025-11-20,high,Integration,15.83
326,100057,2023-11-01,High,Bug,28.88
327,100057,2024-07-24,Medium,How-to,38.08
328,100057,2024-08-26,Medium,Billing,31.75
329,100057,2024-12-08,HIGH,How-to,40.23
330,100057,2024-12-05,Low,Billing,12.97
331,100057,2025-03-14,Low,How-to,20.13
332,100057,2025-05-13,High,How-to,15.18
333,100057,2025-09-28,low,Account,7.31
334,100057,2025-12-25,Medium,Bug,2.11
335,100058,2023-09-24,High,How-to,17.89
336,100058,2023-12-25,Low,Integration,24.07
337,100059,2025-02-10,Medium,Account,25.2
338,100059,2025-02-20,Low,Integration,16.89
339,100059,2025-03-03,Low,How-to,5.05
340,100059,2025-07-27,Medium,How-to,13.61
341,100059,2025-08-03,low,Billing,5.74
342,100059,2025-10-07,Low,How-to,2.94
343,100059,2025-10-14,low,How-to,3.53
344,100059,2025-11-09,Low,Billing,5.37
345,100059,2025-11-28,High,Account,24.85
346,100059,2025-12-08,Medium,Account,4.6
347,100059,2025-12-15,low,Bug,17.08
348,100059,2025-12-10,Low,Account,34.36
349,100060,2024-05-19,MED,Billing,
350,100060,2024-08-18,Medium,Bug,9.82
351,100060,2024-09-12,HIGH,Integration,21.58
352,100060,2025-01-22,Low,How-to,22.5
353,100060,2025-06-19,Medium,Bug,
354,100060,2025-06-28,LOW,Integration,41.15
355,100060,2025-07-24,Low,Billing,5.35
356,100060,2025-07-17,Low,Bug,12.86
357,100060,2025-08-13,Low,Bug,13.52
358,100060,2025-10-22,Low,How-to,15.3
359,100061,2024-10-24,Low,Bug,9.82
360,100061,2024-10-14,Low,Bug,16.71
361,100061,2025-03-20,Medium,Account,3.29
362,100061,2025-08-08,Low,How-to,42.08
363,100061,2025-10-10,Medium,Billing,35.09
364,100062,2023-07-09,Medium,Account,15.59
365,100062,2023-11-26,Medium,Billing,12.5
366,100062,2024-11-26,Medium,Bug,3.17
367,100062,2024-12-04,Low,Account,29.43
368,100062,2025-08-23,Low,Billing,18.98
369,100062,2025-09-08,HIGH,Integration,37.98
370,100062,2025-09-19,LOW,How-to,19.11
371,100062,2025-12-28,High,Account,28.48
372,100063,2025-05-03,High,Billing,
373,100063,2025-06-23,Low,Account,12.41
374,100063,2025-07-09,LOW,How-to,17.87
375,100063,2025-08-12,LOW,Billing,9.63
376,100063,2025-09-24,Low,Bug,4.82
377,100063,2025-11-01,LOW,Integration,4.31
378,100063,2025-11-13,Low,Account,17.41
379,100064,2025-10-02,Low,How-to,7.3
380,100064,2025-11-03,Medium,How-to,8.94
381,100066,2024-01-19,Low,Integration,20.64
382,100066,2024-08-10,High,Integration,2.12
383,100066,2024-08-09,Low,Bug,18.7
384,100066,2024-09-26,Low,How-to,15.78
385,100066,2025-04-10,Low,Bug,7.77
386,100066,2025-06-09,Low,Billing,28.0
387,100066,2025-09-05,High,How-to,2.34
388,100066,2025-11-16,Low,Billing,6.67
389,100067,2023-04-21,High,Billing,16.85
390,100067,2023-05-11,High,How-to,30.44
391,100067,2023-07-01,High,Integration,15.89
392,100067,2023-09-13,Low,Billing,3.25
393,100067,2023-09-09,Low,How-to,19.02
394,100067,2023-12-14,Medium,How-to,5.17
395,100067,2024-02-18,Medium,Bug,24.92
396,100068,2024-02-04,Medium,How-to,11.8
397,100068,2024-05-15,Low,Account,14.81
398,100068,2024-12-17,Low,Account,
399,100068,2025-10-11,Low,Billing,2.12
400,100069,2024-04-09,Medium,Integration,8.92
401,100069,2024-06-08,Low,Account,9.51
402,100069,2024-08-25,low,Bug,7.09
403,100069,2024-09-11,High,Integration,12.06
404,100069,2024-10-21,Medium,Billing,18.07
405,100069,2025-01-07,Low,Billing,17.53
406,100069,2025-03-02,Low,Billing,3.24
407,100069,2025-05-09,High,How-to,18.81
408,100069,2025-08-04,Medium,How-to,16.23
409,100069,2025-08-10,Medium,Account,13.96
410,100069,2025-08-01,Medium,Bug,4.62
411,100069,2025-10-27,Low,Integration,0.85
412,100069,2025-10-11,Low,Billing,7.51
413,100069,2025-12-15,Medium,Billing,13.24
414,100069,2025-12-04,Low,Billing,7.93
415,100069,2025-12-05,Low,Billing,4.43
416,100070,2024-10-09,LOW,Billing,2.51
417,100070,2024-12-02,low,Billing,11.85
418,100070,2025-07-20,Medium,Billing,15.0
419,100070,2025-12-25,low,Bug,4.4
420,100070,2025-12-07,Low,Bug,5.21
421,100070,2025-12-02,Medium,How-to,7.41
422,100071,2025-06-17,Low,How-to,12.3
423,100071,2025-07-08,Medium,Account,15.55
424,100071,2025-12-08,Low,Bug,2.56
425,100072,2023-04-02,Low,Billing,18.33
426,100072,2023-04-20,Medium,Billing,11.8
427,100072,2023-06-22,High,How-to,25.82
428,100072,2023-08-06,Low,Bug,9.18
429,100072,2023-10-19,Low,Bug,24.23
430,100073,2025-11-23,MED,Bug,1.34
431,100074,2025-12-03,MEDIUM,How-to,1.45
432,100075,2025-06-22,Medium,Bug,8.38
433,100076,2024-02-27,Low,Account,9.83
434,100076,2024-04-12,LOW,Account,18.81
435,100076,2024-05-15,Medium,Bug,18.48
436,100076,2024-05-20,Medium,Bug,10.24
437,100076,2024-08-02,High,How-to,88.19
438,100076,2025-02-18,low,Account,16.63
439,100077,2025-11-07,high,How-to,8.13
440,100077,2025-11-05,High,Integration,9.78
441,100078,2023-06-24,Low,Billing,9.9
442,100079,2023-04-27,Low,How-to,4.73
443,100079,2023-10-20,High,How-to,49.02
444,100079,2024-02-18,High,How-to,26.91
445,100079,2024-04-23,Low,Bug,9.31
446,100079,2024-08-27,Low,Billing,8.18
447,100079,2024-09-21,LOW,Account,10.62
448,100079,2024-09-23,Medium,Bug,4.97
449,100079,2025-09-20,Low,How-to,10.62
450,100079,2025-12-04,low,Integration,9.25
451,100080,2025-04-23,Low,Bug,17.68
452,100081,2023-12-15,Low,How-to,19.19
453,100081,2024-06-13,HIGH,Integration,10.55
454,100082,2023-11-18,Medium,Billing,10.32
455,100082,2024-04-04,LOW,Account,9.08
456,100082,2024-07-22,Low,How-to,7.33
457,100082,2024-10-22,HIGH,Bug,
458,100082,2024-12-07,Low,Account,6.77
459,100084,2025-11-16,LOW,Bug,27.11
460,100085,2023-04-16,Low,Bug,15.16
461,100085,2023-07-23,Medium,Bug,17.09
462,100085,2023-07-05,Low,How-to,23.44
463,100085,2023-09-03,Low,How-to,1.37
464,100085,2023-11-20,Medium,Billing,12.55
465,100085,2023-12-03,Low,Billing,5.69
466,100085,2024-04-06,Critical,How-to,75.92
467,100085,2024-07-13,Medium,How-to,21.8
468,100085,2024-07-25,Low,Bug,43.28
469,100085,2024-09-23,Low,Billing,
470,100085,2024-10-15,Low,Bug,5.37
471,100085,2024-12-03,medium,Account,3.83
472,100085,2024-12-04,Medium,Billing,8.4
473,100085,2025-03-08,Medium,How-to,3.79
474,100085,2025-12-12,High,Billing,9.83
475,100087,2023-11-23,High,Account,50.84
476,100087,2024-01-04,High,Integration,17.57
477,100087,2024-02-11,Low,Bug,23.62
478,100087,2024-07-25,Medium,Bug,2.51
479,100087,2024-10-17,Medium,How-to,14.73
480,100087,2024-12-21,high,Account,45.05
481,100087,2024-12-11,Medium,How-to,27.56
482,100087,2025-02-04,MED,How-to,18.92
483,100087,2025-02-11,Low,How-to,9.03
484,100087,2025-03-21,High,Bug,12.33
485,100087,2025-03-03,Medium,Account,11.4
486,100087,2025-04-06,High,Bug,34.38
487,100087,2025-06-19,LOW,How-to,23.7
488,100087,2025-07-25,Low,How-to,2.62
489,100087,2025-07-25,Low,Bug,7.17
490,100087,2025-08-07,Critical,How-to,2.78
491,100087,2025-09-25,Low,Integration,17.75
492,100087,2025-10-20,Low,How-to,21.46
493,100087,2025-11-20,Low,Account,4.0
494,100087,2025-11-26,Low,Account,28.9
495,100087,2025-12-05,Medium,Account,15.55
496,100088,2024-02-09,Medium,Integration,16.96
497,100088,2024-03-19,High,Bug,18.56
498,100088,2024-03-17,Low,How-to,12.35
499,100088,2024-04-15,Critical,Integration,50.45
500,100088,2024-09-11,Low,Bug,4.83
501,100088,2025-05-06,Low,Account,16.08
502,100088,2025-06-27,Medium,How-to,4.21
503,100088,2025-10-05,HIGH,How-to,22.96
504,100090,2024-05-04,Low,How-to,6.79
505,100090,2024-08-07,Low,Bug,8.91
506,100090,2024-10-14,Low,Bug,7.03
507,100090,2025-08-17,critical,Bug,102.26
508,100090,2025-08-19,Low,Billing,5.64
509,100090,2025-08-24,Low,Account,2.76
510,100090,2025-10-15,Low,Billing,7.88
511,100091,2024-08-24,Medium,Billing,14.73
512,100091,2024-10-10,LOW,Bug,10.06
513,100091,2025-04-19,High,Integration,19.14
514,100091,2025-06-01,High,Account,7.26
515,100091,2025-07-23,LOW,Account,33.98
516,100091,2025-08-26,low,How-to,10.54
517,100091,2025-11-21,Low,How-to,9.26
518,100091,2025-11-27,Medium,Bug,11.18
519,100091,2025-11-19,Medium,Bug,14.02
520,100091,2025-12-03,medium,Account,
521,100092,2025-08-18,Low,How-to,11.09
522,100093,2023-12-27,Medium,How-to,13.53
523,100093,2024-08-13,High,How-to,8.1
524,100093,2024-12-16,Medium,Integration,23.59
525,100093,2025-01-08,Low,Bug,3.49
526,100093,2025-06-10,Low,Billing,5.22
527,100093,2025-07-10,MEDIUM,How-to,8.84
528,100093,2025-08-27,High,Billing,14.12
529,100094,2024-04-28,High,Bug,3.07
530,100094,2024-07-25,Medium,Bug,21.5
531,100094,2024-08-19,Low,Bug,31.76
532,100094,2024-12-22,Low,How-to,22.36
533,100094,2024-12-22,Medium,Billing,29.28
534,100094,2025-03-05,Medium,How-to,5.1
535,100094,2025-04-27,Critical,Account,77.15
536,100094,2025-09-24,Low,Billing,9.76
537,100094,2025-12-26,Low,How-to,12.67
538,100095,2023-08-18,Low,How-to,10.01
539,100095,2023-08-23,Medium,Integration,11.97
540,100095,2024-12-23,low,How-to,
541,100095,2025-11-16,Low,How-to,10.9
542,100096,2023-11-21,Low,Bug,13.12
543,100096,2024-03-06,LOW,How-to,11.89
544,100096,2024-03-06,Low,How-to,36.19
545,100096,2024-05-12,Medium,Billing,5.93
546,100096,2024-06-07,Medium,Account,20.94
547,100096,2024-09-22,MED,How-to,11.21
548,100097,2025-05-06,Medium,Bug,1.57
549,100097,2025-05-06,Medium,Billing,14.57
550,100097,2025-09-25,Medium,Bug,3.1
551,100097,2025-10-15,Low,Billing,9.96
552,100098,2025-06-24,Critical,Account,15.3
553,100098,2025-11-11,Critical,Bug,35.7
554,100099,2025-09-26,Medium,Bug,
555,100099,2025-12-21,Low,Billing,6.33
556,100100,2024-10-14,medium,Account,13.69
557,100100,2025-10-20,Critical,How-to,27.16
558,100101,2024-08-07,Low,How-to,34.94
559,100101,2024-11-23,Low,Billing,11.78
560,100101,2024-11-06,Low,Billing,3.99
561,100101,2024-11-08,MEDIUM,Bug,14.85
562,100101,2025-05-11,medium,Bug,6.49
563,100101,2025-09-26,Low,Bug,29.31
564,100101,2025-12-05,Medium,Billing,5.26
565,100102,2023-12-21,Low,Account,16.33
566,100102,2023-12-09,Low,Integration,23.36
567,100102,2024-10-15,Low,Bug,18.63
568,100102,2024-11-25,Critical,Billing,32.75
569,100102,2024-12-27,Low,How-to,42.6
570,100102,2024-12-01,high,Bug,
571,100102,2025-03-27,Low,Billing,26.28
572,100102,2025-07-16,Low,Billing,17.65
573,100102,2025-08-02,medium,Account,8.0
574,100102,2025-08-27,Low,Bug,18.94
575,100102,2025-11-20,LOW,Billing,6.91
576,100103,2024-03-17,HIGH,Bug,23.67
577,100103,2024-05-05,Medium,Account,15.67
578,100103,2025-09-01,Low,Account,6.99
579,100103,2025-09-25,Low,Bug,27.14
580,100103,2025-11-10,Medium,Bug,10.93
581,100103,2025-12-04,Low,How-to,
582,100103,2025-12-26,Medium,Bug,2.79
583,100104,2023-04-10,Low,How-to,2.73
584,100104,2023-08-08,Medium,Billing,35.74
585,100104,2023-09-24,Low,Billing,12.46
586,100104,2024-10-19,Low,Billing,14.0
587,100104,2024-12-21,Low,How-to,11.23
588,100104,2025-01-27,Medium,Bug,8.72
589,100104,2025-07-08,Low,Bug,26.24
590,100104,2025-12-12,Medium,How-to,30.44
591,100105,2024-04-01,High,Bug,41.77
592,100105,2024-04-17,Medium,How-to,3.37
593,100105,2024-05-21,Medium,How-to,2.34
594,100105,2024-05-25,Medium,How-to,18.63
595,100105,2024-06-20,LOW,Bug,5.29
596,100105,2024-06-05,High,Integration,21.84
597,100105,2024-07-15,High,Bug,7.31
598,100105,2024-08-28,Low,Bug,26.87
599,100105,2024-09-12,Low,Integration,2.66
600,100105,2024-10-09,medium,How-to,3.67
601,100105,2024-11-27,Low,How-to,24.76
602,100105,2024-12-26,Low,Billing,19.64
603,100105,2025-01-25,Low,Bug,37.38
604,100105,2025-01-10,Medium,How-to,16.48
605,100105,2025-02-25,High,How-to,34.23
